"CUISINECODE","VIOLATIONCODE","VIOLATIONDESC","A","B","D","C","ratio","CODEDESC"
"20","02B","Hot food item not held at or above 140º F.",4703,60880,520720,24523,1.64032912222766,"Chinese"
"18","04A","Food Protection Certificate not held by supervisor of food operations.",217,7442,520720,9264,1.63898802437178,"Chicken"
"63","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",196,10645,520720,5852,1.6383638116599,"Pizza/Italian"
"05","09B","Thawing procedures improper.",105,7654,520720,4364,1.6368932499245,"Asian"
"02","02B","Hot food item not held at or above 140º F.",142,1843,520720,24523,1.63603906541146,"African"
"35","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",110,7409,520720,4726,1.63585057735651,"French"
"20","06F","Wiping cloths soiled or not stored in sanitizing solution.",1882,60880,520720,10016,1.60714446898104,"Chinese"
"62","02B","Hot food item not held at or above 140º F.",1936,25687,520720,24523,1.60037820283489,"Pizza"
"82","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",103,6843,520720,4979,1.57417429691626,"Thai"
"39","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1531,7663,520720,66420,1.56632454082454,"Hamburgers"
"44","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",230,8170,520720,9381,1.56264707029769,"Indian"
"47","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",410,4422,520720,30966,1.55913696272356,"Irish"
"69","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",114,6510,520720,5860,1.55607492804454,"Sandwiches"
"48","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",361,25637,520720,4726,1.55149556956955,"Italian"
"62","10I","Single service item reused, improperly stored, dispensed; not used when required.",298,25687,520720,3898,1.5497630501205,"Pizza"
"05","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",313,7654,520720,13741,1.54967918093981,"Asian"
"17","09B","Thawing procedures improper.",209,16100,520720,4364,1.54895901532015,"Caribbean"
"14","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",156,14860,520720,3536,1.54595835642467,"Caf/Coffee/Tea"
"44","04M","Live roaches present in facility's food and/or non-food areas.",350,8170,520720,14568,1.53126485037543,"Indian"
"48","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",233,25637,520720,3128,1.51295576934991,"Italian"
"48","99B","Other general violation.",168,25637,520720,2257,1.51187114312259,"Italian"
"52","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",277,6957,520720,13741,1.50884172233863,"Korean"
"17","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",205,16100,520720,4401,1.50654072126465,"Caribbean"
"49","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",730,18374,520720,13741,1.50558426411795,"Japanese"
"03","22A","Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",633,125458,520720,1746,1.50475352466638,"American "
"03","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",5779,125458,520720,15954,1.50345005524929,"American "
"17","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",164,16100,520720,3536,1.50006464124111,"Caribbean"
"02","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",114,1843,520720,21508,1.49755832881172,"African"
"75","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",110,576,520720,66420,1.49718541938506,"Soups & Sandwiches"
"35","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",124,7409,520720,5852,1.48923087482876,"French"
"27","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",172,9590,520720,6272,1.48904577472282,"Delicatessen"
"49","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",164,18374,520720,3128,1.48585917440885,"Japanese"
"08","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",202,16100,520720,4401,1.48449378388029,"Bakery"
"51","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",103,2638,520720,13741,1.47961372911039,"Juice, Smoothies, Fruit Salads"
"49","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",172,18374,520720,3306,1.47443674025562,"Japanese"
"27","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",1233,9590,520720,45819,1.46117798916856,"Delicatessen"
"20","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",847,60880,520720,4979,1.45502648574737,"Chinese"
"14","10H","Proper sanitization not provided for utensil ware washing operation.",362,14860,520720,8727,1.45354688139298,"Caf/Coffee/Tea"
"20","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",4302,60880,520720,25370,1.45037248977939,"Chinese"
"20","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",546,60880,520720,3221,1.44987824236562,"Chinese"
"03","15K","Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.",136,125458,520720,391,1.44367039168487,"American "
"29","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",102,6303,520720,5860,1.4380020565536,"Donuts"
"78","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",155,1797,520720,31331,1.43355256785986,"Steak"
"62","04A","Food Protection Certificate not held by supervisor of food operations.",653,25687,520720,9264,1.42891207981188,"Pizza"
"69","09C","Food contact surface not properly maintained.",121,6510,520720,6806,1.42205598836845,"Sandwiches"
"52","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",178,6957,520720,9381,1.42021181571962,"Korean"
"77","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",156,13090,520720,4401,1.41006080811205,"Spanish"
"82","06F","Wiping cloths soiled or not stored in sanitizing solution.",185,6843,520720,10016,1.40551385502034,"Thai"
"55","20F","Current letter grade card not posted.",187,18419,520720,3775,1.40043469365962,"Mexican"
"17","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",926,16100,520720,21508,1.39248120300752,"Caribbean"
"03","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",1046,125458,520720,3128,1.38794046847644,"American "
"17","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1643,16100,520720,38306,1.38723213819543,"Caribbean"
"69","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",537,6510,520720,30966,1.38711492997672,"Sandwiches"
"82","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",834,6843,520720,45819,1.38509053871208,"Thai"
"43","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",134,3670,520720,13741,1.38364492032139,"Ice Cream, Gelato, Yogurt, Ices"
"63","10I","Single service item reused, improperly stored, dispensed; not used when required.",110,10645,520720,3898,1.38041427948622,"Pizza/Italian"
"14","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2610,14860,520720,66420,1.37697826507202,"Caf/Coffee/Tea"
"03","10J","""""Wash hands” sign not posted at hand wash facility.",820,125458,520720,2472,1.37680135452956,"American "
"08","04M","Live roaches present in facility's food and/or non-food areas.",619,16100,520720,14568,1.37426061033969,"Bakery"
"69","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1140,6510,520720,66420,1.3728694788228,"Sandwiches"
"43","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",642,3670,520720,66420,1.3714322284004,"Ice Cream, Gelato, Yogurt, Ices"
"55","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",283,18419,520720,5852,1.36716310169924,"Mexican"
"27","02B","Hot food item not held at or above 140º F.",617,9590,520720,24523,1.36614632208609,"Delicatessen"
"55","99B","Other general violation.",109,18419,520720,2257,1.3653159050597,"Mexican"
"49","02B","Hot food item not held at or above 140º F.",1180,18374,520720,24523,1.36366896161942,"Japanese"
"17","04A","Food Protection Certificate not held by supervisor of food operations.",389,16100,520720,9264,1.35809277078707,"Caribbean"
"53","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",224,26063,520720,3306,1.3537080877066,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"20","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",522,60880,520720,3306,1.35050833390968,"Chinese"
"27","06F","Wiping cloths soiled or not stored in sanitizing solution.",249,9590,520720,10016,1.34986607455183,"Delicatessen"
"18","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",113,7442,520720,5860,1.34925930036423,"Chicken"
"20","09A","Canned food product observed dented and not segregated from other consumable food items.",431,60880,520720,2734,1.34836780619195,"Chinese"
"78","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",144,1797,520720,30966,1.34751486281955,"Steak"
"70","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",362,3057,520720,45819,1.34577291627708,"Sandwiches/Salads/Mixed Buffet"
"38","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",204,2555,520720,30966,1.34263638435337,"Greek"
"17","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",137,16100,520720,3306,1.34028173882983,"Caribbean"
"53","20F","Current letter grade card not posted.",253,26063,520720,3775,1.33900876454988,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"77","09C","Food contact surface not properly maintained.",229,13090,520720,6806,1.33846848385923,"Spanish"
"17","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",242,16100,520720,5860,1.33566065333983,"Caribbean"
"55","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",223,18419,520720,4726,1.33398011680748,"Mexican"
"18","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",409,7442,520720,21508,1.33057044654097,"Chicken"
"07","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",428,3657,520720,45819,1.33007907378513,"Bagels/Pretzels"
"62","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",383,25687,520720,5852,1.32673849212832,"Pizza"
"72","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",259,3245,520720,31331,1.3265238566351,"Seafood"
"14","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",225,14860,520720,5960,1.3228838284842,"Caf/Coffee/Tea"
"48","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",381,25637,520720,5852,1.3223843881015,"Italian"
"52","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",448,6957,520720,25370,1.32172103550222,"Korean"
"53","04M","Live roaches present in facility's food and/or non-food areas.",962,26063,520720,14568,1.31933472652745,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"55","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",112,18419,520720,2400,1.31930434153139,"Mexican"
"35","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",257,7409,520720,13741,1.31449654051036,"French"
"28","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",117,1829,520720,25370,1.31297346025676,"Vietnamese/Cambodian/Malaysia"
"83","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",148,1533,520720,38306,1.31237217763954,"Turkish"
"53","02B","Hot food item not held at or above 140º F.",1610,26063,520720,24523,1.31169279315636,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"48","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",887,25637,520720,13741,1.31111967738821,"Italian"
"69","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",750,6510,520720,45819,1.30929927344853,"Sandwiches"
"82","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",236,6843,520720,13741,1.30692715552963,"Thai"
"17","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",252,16100,520720,6240,1.30615384615385,"Caribbean"
"03","10H","Proper sanitization not provided for utensil ware washing operation.",2744,125458,520720,8727,1.30504362553018,"American "
"53","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1403,26063,520720,21508,1.30327930096507,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"83","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",120,1533,520720,31331,1.30097542551312,"Turkish"
"77","02B","Hot food item not held at or above 140º F.",801,13090,520720,24523,1.299342158857,"Spanish"
"18","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",255,7442,520720,13741,1.29848349493072,"Chicken"
"48","20F","Current letter grade card not posted.",241,25637,520720,3775,1.29669292648482,"Italian"
"62","20D","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",124,25687,520720,1945,1.2923881054534,"Pizza"
"02","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",175,1843,520720,38306,1.29077387762405,"African"
"48","10H","Proper sanitization not provided for utensil ware washing operation.",550,25637,520720,8727,1.2800730924793,"Italian"
"29","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",333,6303,520720,21508,1.27909015756908,"Donuts"
"28","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",139,1829,520720,30966,1.27796877839915,"Vietnamese/Cambodian/Malaysia"
"05","06F","Wiping cloths soiled or not stored in sanitizing solution.",188,7654,520720,10016,1.2769659999449,"Asian"
"02","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",224,1843,520720,49564,1.27691089742599,"African"
"62","09A","Canned food product observed dented and not segregated from other consumable food items.",172,25687,520720,2734,1.2753248129834,"Pizza"
"72","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",109,3245,520720,13741,1.27291005099962,"Seafood"
"03","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9488,125458,520720,30966,1.27173160706516,"American "
"48","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1937,25637,520720,30966,1.27052017695745,"Italian"
"70","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",495,3057,520720,66420,1.26944867747663,"Sandwiches/Salads/Mixed Buffet"
"63","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",129,10645,520720,4979,1.26737803707464,"Pizza/Italian"
"77","04A","Food Protection Certificate not held by supervisor of food operations.",295,13090,520720,9264,1.26674174144458,"Spanish"
"17","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1941,16100,520720,49564,1.26659441760725,"Caribbean"
"53","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",394,26063,520720,6240,1.26151229220715,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"08","02B","Hot food item not held at or above 140º F.",954,16100,520720,24523,1.25821007683749,"Bakery"
"55","10J","""""Wash hands” sign not posted at hand wash facility.",110,18419,520720,2472,1.25800518003166,"Mexican"
"03","22B","Toilet facility used by women does not have at least one covered garbage receptacle.",120,125458,520720,396,1.25774314427091,"American "
"55","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",139,18419,520720,3128,1.25627948122623,"Mexican"
"49","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",415,18374,520720,9381,1.25371697819647,"Japanese"
"03","03C","Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",143,125458,520720,474,1.25217086451781,"American "
"63","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",240,10645,520720,9381,1.25147073557282,"Pizza/Italian"
"73","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",122,1025,520720,49564,1.25047172318225,"Soul Food"
"77","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",197,13090,520720,6272,1.24946699459004,"Spanish"
"50","09C","Food contact surface not properly maintained.",123,7532,520720,6806,1.24941614573003,"Jewish/Kosher"
"44","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",496,8170,520720,25370,1.24607278616742,"Indian"
"17","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",241,16100,520720,6272,1.24276603498542,"Caribbean"
"55","04M","Live roaches present in facility's food and/or non-food areas.",640,18419,520720,14568,1.24199043683821,"Mexican"
"14","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",222,14860,520720,6272,1.2403160793254,"Caf/Coffee/Tea"
"35","10H","Proper sanitization not provided for utensil ware washing operation.",154,7409,520720,8727,1.24022479202723,"French"
"61","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",172,1886,520720,38306,1.23972172734832,"Peruvian"
"08","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",971,16100,520720,25370,1.2378760065319,"Bakery"
"84","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",178,1958,520720,38306,1.23579026309669,"Vegetarian"
"55","04A","Food Protection Certificate not held by supervisor of food operations.",404,18419,520720,9264,1.23288063003951,"Mexican"
"72","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",165,3245,520720,21508,1.23104371097235,"Seafood"
"77","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",102,13090,520720,3306,1.22733165201405,"Spanish"
"08","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",816,16100,520720,21508,1.22706766917293,"Bakery"
"28","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",197,1829,520720,45819,1.22408386310883,"Vietnamese/Cambodian/Malaysia"
"77","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",192,13090,520720,6240,1.22399952988188,"Spanish"
"63","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",118,10645,520720,4726,1.22136897174162,"Pizza/Italian"
"52","04A","Food Protection Certificate not held by supervisor of food operations.",151,6957,520720,9264,1.22000231870933,"Korean"
"99","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",138,1881,520720,31331,1.2193272867668,"Other"
"62","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",2304,25687,520720,38306,1.21928868407843,"Pizza"
"27","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",140,9590,520720,6240,1.21822945910537,"Delicatessen"
"08","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",133,16100,520720,3536,1.21651583710407,"Bakery"
